"Description","Price","Reviews","Stars"
"28PCS Acrylic Paint Set for Kids, with Pattern Canvas, Art Supplies with 12Colors Acrylic Paint, Brushes, Pre-Printed Drawing Board, Perfect Paint Set Gift for Beginner Student Toddlers  ","$13.99$13.99","530","4.6 out of 5 stars"
"Acrylic Paint Brushes Set, 16 Packs/160 Pcs, Pink, Suitable for Acrylic, Oil, Watercolor,Rock Body Face Nail Art,Perfect Suit of Art Painting, Best Gift for Kids Adult Drawing  ","$19.99$19.99","539","4.7 out of 5 stars"
"MEEDEN Painting Set with Tabletop & Field Easel, 151Pcs Art Supplies Include Watercolor Gouache Acrylic Oil Paint Set Canvas Paintbrushes, Deluxe Painting Kit for Beginner Artist and Adults  ","$119.95$119.95","2,237","4.8 out of 5 stars"
"Office Personal Electric Pencil Sharpener, Powerful Stall-Free Motor, High Capacity Shavings Tray, 7yr Warranty, Blue  ","$14.88$14.88","Learn more","4.5 out of 5 stars"
"24 Colors Dual Tip Acrylic Paint Pens Markers, Premium Acrylic Paint Pens for Wood, Canvas, Stone, Rock Painting, Glass, Ceramic Surfaces, DIY Crafts Making Art Supplies  ","$24.19$24.19","34,628","4.6 out of 5 stars"
"Journal Planner Pens Colored Pens Fine Point Markers Fine Tip Drawing Pens Fineliner Pen for Bullet Journaling Writing Note Taking Calendar Coloring Art Office School Supplies, 18-Pack  ","$11.99$11.99","5,089","4.7 out of 5 stars"
"9 x 12 inches Sketch Book, Top Spiral Bound Sketch Pad, 1 Pack 100-Sheets (68lb/100gsm), Acid Free Art Sketchbook Artistic Drawing Painting Writing Paper for Kids Adults Beginners Artists  ","$19.99$19.99","96,254","4.8 out of 5 stars"
"SAKURA Pigma Micron Fineliner Pens - Archival Black Ink Pens - Pens for Writing, Drawing, or Journaling - Assorted Point Sizes - 6 Pack  ","$8.99$8.99","9,806","4.8 out of 5 stars"
"8 Posca Paint Markers, 5M Medium Markers with Reversible Tips, Marker Set of Acrylic Paint Pens | Posca Pens for Art Supplies, Fabric Paint, Fabric Markers, Paint Pen, Art Markers  ","$0.50$0.50","56,696","4.8 out of 5 stars"
"Premier Pencil Sharpener  ","$10.99$10.99","11,568","4.7 out of 5 stars"
"72-Color Colored Pencils for Adult Coloring Books, Soft Core Artist Sketching Drawing Pencils, Drawing Supplies, Art Supplies for Adults Kids, Coloring Pencils Kit, Color Pencil Set, Gifts  ","$12.86$12.86","33,685","4.7 out of 5 stars"
"Office Twist-n-Sharp Pencil Sharpener, for Kids & Colored Pencils, Assorted Colors (PS1-ADJ)  ","$0.13$0.13","17,046","4.6 out of 5 stars"
"Paint Set, 34 Piece Adjustable Tabletop Easel Set, Wooden Art Set Crafts Drawing Painting Kit with Easel and 3 Canvas Boards, 12 Acrylic Paints Etc. Paint Kit for Artist Beginners  ","$17.99$17.99","8,114","4.4 out of 5 stars"
"Acrylic Paint Set,56 PCS Professional Painting Supplies with Paint Brushes, 36 Colors Acrylic Paints, 1 Easel, 2 Painting Canvases, Palette, Paint Knives and Art Sponges for Hobbyists and Beginners  ","$11.59$11.59","130","4.6 out of 5 stars"
"Canvas Boards for Painting-21 Pack Blank Canvas Boards-4x4, 5x7, 8x10, 9x12, 11x14, Round Canvas D8, D10, 100% Cotton Primed Canvas Panels, Painting Canvas for Oil, Acrylic, Watercolor.  ","$1.93$1.93","1,234","4.4 out of 5 stars"
"PBT Paint Brushes for Acrylic, Oil, Watercolor, 10 Different Sizes Brush Set, Blue  ","$19.91$19.91","712","4.6 out of 5 stars"
"Colored Pencils for Adult Coloring Books, 72 Colored Professional Drawing Pencils, Art Supplies for Sketching, Shading for Beginners, kids & Pro.  ","$2.49$2.49","8,941","4.6 out of 5 stars"
"XL Watercolor Pads, 9 In. x 12 In., Pad Of 30 (100510941) (98773)  ","$6.79$6.79","845","4.8 out of 5 stars"
"Apple Barrel Acrylic Paint in Assorted Colors (8 Ounce), 20403 White  ","$9.49$9.49","40,420","4.8 out of 5 stars"
"Manual 4PCS Colorful Compact Dual Holes Pencil Sharpeners with Lid for Kids & Adults, Portable for School Office  ","$11.99$11.99","8,182","4.5 out of 5 stars"
"Chalk Markers - 8 Vibrant, Erasable, Non-Toxic, Water-Based, Reversible Tips, For Kids & Adults for Glass or Chalkboard Markers for Businesses, Restaurants, Liquid Chalk Markers (Vibrant 6mm)  ","$0.17$0.17","10,496","4.5 out of 5 stars"
"Canvases for Painting 12 Pack,8 x 10 Inch Painting Canvas, Blank Canvas Boards for Painting- Gesso Primed Acid-Free 100% Cotton Canvas Panels for Acrylics Oil Watercolor Tempera Paints  ","$19.99$19.99","21,906","4.7 out of 5 stars"
"Upgraded 48 Colors Washable Watercolor Paint Set with 3 Brushes and Palette, Non-toxic Paints Sets for Kids, Adults, Beginners Artists, Make Your Painting Talk  ","$2.84$2.84","Learn more","4.6 out of 5 stars"
"Sketch and Drawing Art Pencil Kit, 17 Piece Set, Charcoal, Black, White  ","$6.29$6.29","608","4.7 out of 5 stars"
"Acrylic Paint Set With 12 Brushes, 24 Colors (59ml, 2oz) Art Craft Paints Gifts for Artists Kids Beginners & Painters, Halloween Pumpkin Canvas Ceramic Rock Painting Kit Art Supplies  ","$34.95$34.95","4,921","4.7 out of 5 stars"
"20-Piece Nylon Paint Brush Set for Acrylics, Oils, Watercolors - Round and Pointed Tips for Art, Nails, Detailing  ","$24.99$24.99","6,529","4.7 out of 5 stars"
"588106 Washable Super Tips Markers, Assorted, 20/Set  ","$27.99$27.99","31,815","4.7 out of 5 stars"
"Construction Paper, 96 Sheets  ","$22.99$22.99","17,741","4.8 out of 5 stars"
"Super Sticky Easel Pad, 25 in x 30 in, White, 30 Sheets/Pad, 2 Pad/Pack, Large White Premium Self Stick Flip Chart Paper, Super Sticking Power (559)  ","$4.74$4.74","50,840","4.8 out of 5 stars"
"Art Supplies, 139 Pack Painting Drawing Art Kit with 2 Sketch Pads, Deluxe Double Layers Art Set Crafts, Colored Pencils, Oil Pastels, Watercolor Paints, Aluminum Gift for Artists Kids (Pink)  ","$13.19$13.19","810","4.8 out of 5 stars"
"Acrylic Paint Brush Set, 30 pcs Nylon Hair Paint Brushes for All Purpose Oil Watercolor Face Body Rock Painting Artist, Small Paint Brush Kits for Kids Adult Drawing  ","$0.18$0.18","6,783","4.6 out of 5 stars"
"168-Pack Art Supplies, Deluxe Wooden Art Set Crafts Drawing Painting Coloring Kit, Coloring Book, Sketch Pads Creative Gift Box for Artist Beginners Kids Girls Boys 5 6 7 8 9 10 11 12  ","$14.88$14.88","6,201","4.7 out of 5 stars"
"BZB Women's Sweaters Fall 2023 Lightweight Long Sleeve Square Neck Tunic Tops  ","$26.97$26.97","234","4.0 out of 5 stars"
